nodeid,in_population,database.all_fitnesses.island_zero,database.best_program.island_zero,database.end_generation.always_false,database.end_generation.bare_increment,database.feature_dimensions.empty,database.fitness.no_feature_exclusion,database.get.best_fallback,database.init.no_novelty_guard,database.island_fitnesses.global,database.last_iteration.off_by_one,database.load.reset_generations,database.num_islands.off_by_one,database.num_programs.off_by_one,database.per_island_bests.neg_inf_default,database.sample_from_island.drop_inspirations,database.save.iteration_zero,database.store_artifacts.noop,islands.add.ignore_target_scope,islands.capabilities.overclaim,islands.elites.worst_first,islands.load_state_dict.ignore_state,islands.native_select.source_is_target,islands.per_scope_bests.global_best,islands.population.ignore_scope,islands.regions.generic_label,islands.scopes.drop_last,islands.snapshot.limit_before_sort,islands.snapshot.regions_always,islands.state_dict.empty,islands.steps_per_generation.one,islands.target_scope.off_by_one,islands.top_programs.island_wins,islands.top_programs.reversed,islands.topology.flat,prompts.build_mutation_prompt.drop_parent2,prompts.build_mutation_prompt.unfiltered_metrics,prompts.build_mutation_prompt.unfiltered_program_lists,prompts.inject_advice.no_header,prompts.make_prompt_sampler.allow_stochasticity,prompts.make_prompt_sampler.skip_template_registration
tests/test_adapter_instrumentation.py::TestAdapterNeverTouchesRawDatabase::test_adapter_source_has_no_db_attribute_access,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_adapter_instrumentation.py::TestServableSurfaceRoutesThroughStore::test_every_servable_item_served_by_recorded_store_call,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_adapter_instrumentation.py::TestTriageLedgerParity::test_failing_donor_set_is_exactly_the_declared_deviations,no,.,K,.,.,.,.,.,.,.,.,.,K,.,.,.,.,.,.,.,.,.,.,.,K,.,K,.,.,.,.,.,.,K,.,.,.,.,.,.,.
tests/test_adapter_instrumentation.py::TestUnservedSurfaceFailsLoudly::test_islands_and_programs_are_derived_readonly_views,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_adapter_instrumentation.py::TestUnservedSurfaceFailsLoudly::test_metric_kwarg_raises_on_both_query_methods,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_adapter_instrumentation.py::TestUnservedSurfaceFailsLoudly::test_unserved_deletes_raise_instead_of_bare_attributeerror,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_adapter_instrumentation.py::TestUnservedSurfaceFailsLoudly::test_unserved_reads_raise_naming_the_capability,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_adapter_instrumentation.py::TestUnservedSurfaceFailsLoudly::test_unserved_writes_raise_instead_of_silently_absorbing,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffLenient::test_exact_match_preserved,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffLenient::test_lstrip_match_preserves_blank_lines,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffLenient::test_lstrip_match_reindents_replace,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffLenient::test_no_diff_blocks_returns_original,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffLenient::test_no_match_leaves_code_unchanged,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffLenient::test_searches_without_blocks_may_need_multiple_matches,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffOnRealCorpus::test_corpora_load_and_have_real_diff_blocks,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffOnRealCorpus::test_lenient_never_regresses_a_case_strict_already_handles,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffOnRealCorpus::test_lenient_recovers_none_of_this_corpus_no_ops_to_compilable_code,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffOnRealCorpus::test_mutations_produce_code_that_compiles_or_fails_for_a_model_reason,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_apply_diff.py::TestApplyDiffOnRealCorpus::test_strict_apply_diff_no_op_rate_measured,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_bin_packing_example.py::TestBinPackingHarness::test_hostile_program_times_out_without_killing_the_harness,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_bin_packing_example.py::TestBinPackingHarness::test_initial_program_evaluates_to_a_valid_solution,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_bin_packing_example.py::TestBinPackingHarness::test_scoring_is_deterministic,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_bin_packing_example.py::TestBinPackingHasHeadroom::test_best_fit_leaves_real_headroom,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_bin_packing_example.py::TestBinPackingHasHeadroom::test_score_discriminates_heuristic_quality,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_bin_packing_example.py::TestBinPackingRunsInTheController::test_null_arm_stub_run_completes_and_writes_a_run_dir,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_best_program_is_global_max,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_cell_assignment_is_deterministic,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_centroids_are_deterministic_pure_function,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_checkpoint_file_round_trip,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_duplicate_program_id_rejected,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_elite_replacement_keeps_highest_fitness_per_cell,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_keeps_whole_corpus_never_deletes,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_public_interface_contains_no_island_named_members,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_satisfies_population_store_protocol,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
tests/test_cvt.py::test_snapshot_distinguishes_local_and_global_scope,no,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
